codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint;zona_prossimita;area_statistica
73234;727;BOCCA RAVARI BIVIO;VIA PASSO SELLA FR BV ZOCCA;CASTEL D`AIANO;447;N/A;44.300362, 11.015066;Fuori Bologna;Fuori Bologna
73245;727;FAMATICCIA;VIA BOCCA RAVARI FR BV FAMATICCIA;CASTEL D`AIANO;447;N/A;44.285509, 11.004732;Fuori Bologna;Fuori Bologna
73302;728;ROCCA ROFFENO BV VALLE IN;VIA PASSO SELLA DELLA CROCE BV VIA VALLE;ROCCA DI ROFFENO;568;N/A;44.296674, 11.032125;Fuori Bologna;Fuori Bologna
73402;726;LABANTE BIVIO;VIA LABANTE ANG. FORNACI;VERGATO;569;N/A;44.283375, 11.098439;Fuori Bologna;Fuori Bologna
73406;726;MULINELLO;VIA LABANTE 7/1;VERGATO;569;N/A;44.280265, 11.093767;Fuori Bologna;Fuori Bologna
73410;726;FERRIERA;VIA LABANTE 9;VERGATO;569;N/A;44.276547, 11.089349;Fuori Bologna;Fuori Bologna
73417;726;QUERCIOLO;VIA VAL D`ANEVA FR 148;CASTEL D`AIANO;569;N/A;44.27262, 11.075114;Fuori Bologna;Fuori Bologna
73418;726;QUERCIOLO;VIA VAL D`ANEVA 148;CASTEL D`AIANO;569;N/A;44.272557, 11.075112;Fuori Bologna;Fuori Bologna
73422;726;VALLE DI VIGO;VIA VAL D`ANEVA 140;CASTEL D`AIANO;569;N/A;44.271648, 11.069153;Fuori Bologna;Fuori Bologna
73425;726;CA` DI MINGAIA;VIA VAL D`ANEVA BV RAZOLA;CASTEL D`AIANO;569;N/A;44.267023, 11.062012;Fuori Bologna;Fuori Bologna
73429;726;TORRAZZA;VIA VAL D`ANEVA FR 130;CASTEL D`AIANO;569;N/A;44.262668, 11.061384;Fuori Bologna;Fuori Bologna
73434;726;CASA GISTO;VIA VAL D`ANEVA FR 151;CASTEL D`AIANO;569;N/A;44.259879, 11.057791;Fuori Bologna;Fuori Bologna
73437;726;LABANTE AMERICA;VIA VAL D`ANEVA 143;CASTEL D`AIANO;568;N/A;44.259628, 11.054212;Fuori Bologna;Fuori Bologna
73449;726;CASA MASARE`;VIA VAL DANEVA ANG. MASARE;CASTEL D`AIANO;568;N/A;44.260744, 11.043227;Fuori Bologna;Fuori Bologna
73450;726;CASA MASARE`;VIA VAL DANEVA FR MASARE;CASTEL D`AIANO;568;N/A;44.260699, 11.043225;Fuori Bologna;Fuori Bologna
73457;726;LABANTE SAN CRISTOFORO;VIA VAL D`ANEVA FR CHIESA;CASTEL D`AIANO;568;N/A;44.260493, 11.035075;Fuori Bologna;Fuori Bologna
73466;726;CAMPIDELLO;VIA VAL D`ANEVA FR 93;CASTEL D`AIANO;568;N/A;44.258014, 11.025156;Fuori Bologna;Fuori Bologna
73469;726;PIGGIOLO;VIA VAL D`ANEVA;CASTEL D`AIANO;568;N/A;44.256781, 11.020052;Fuori Bologna;Fuori Bologna
73486;726;CASTEL D`AIANO CANALE;VIA VAL D`ANEVA FR 77;CASTEL D`AIANO;568;N/A;44.270047, 11.01007;Fuori Bologna;Fuori Bologna
73497;726;CASTEL D`AIANO CROCE;VIA VAL D`ANEVA 7;CASTEL D`AIANO;447;N/A;44.280181, 11.004638;Fuori Bologna;Fuori Bologna
73517;727;ALBERETO;VIA VILLA DAIANO BV DELLARTIGIANO;CASTEL D`AIANO;447;N/A;44.282909, 11.002588;Fuori Bologna;Fuori Bologna
73518;726;ALBERETO;VIA VILLA DAIANO FR BV DELLARTIGIANO;CASTEL D`AIANO;447;N/A;44.282885, 11.002399;Fuori Bologna;Fuori Bologna
73521;747;CASA MULINELLO;VIA VILLA D`AIANO FR 5;CASTEL D`AIANO;447;N/A;44.289723, 10.9908;Fuori Bologna;Fuori Bologna
73526;726;FAIETO;VIA VILLA D`AIANO FR 18;CASTEL D`AIANO;447;N/A;44.29215, 10.986858;Fuori Bologna;Fuori Bologna
73529;747;CASA FABBRO;VIA VILLA D`AIANO 52;VILLA D`AIANO;447;N/A;44.293852, 10.984246;Fuori Bologna;Fuori Bologna
73533;726;VILLA D`AIANO;VIA VILLA D`AIANO FR 47;VILLA D`AIANO;447;N/A;44.295189, 10.981395;Fuori Bologna;Fuori Bologna
73538;747;LASTRA;VIA VILLA D`AIANO FR 108;CASTEL D`AIANO;447;N/A;44.296866, 10.975059;Fuori Bologna;Fuori Bologna
73542;726;SERETTA;VIA VILLA D`AIANO FR BV DELLA PACE;CASTEL D`AIANO;447;N/A;44.297447, 10.971631;Fuori Bologna;Fuori Bologna
73546;747;MONZONE;VIA VILLA D`AIANO 121;CASTEL D`AIANO;447;N/A;44.300667, 10.970234;Fuori Bologna;Fuori Bologna
73549;726;CAMPO PIOVANO;VIA SEMELANO;MONTESE;447;N/A;44.304392, 10.968253;Fuori Bologna;Fuori Bologna
73553;747;BARGA;VIA SEMELANO;MONTESE;447;N/A;44.308468, 10.967386;Fuori Bologna;Fuori Bologna
73557;726;SEMELANO CHIESA;VIA SEMELANO FR P.L. 2;MONTESE;447;N/A;44.311903, 10.966548;Fuori Bologna;Fuori Bologna
73557;747;SEMELANO CHIESA;VIA SEMELANO FR P.L. 2;MONTESE;447;N/A;44.311903, 10.966548;Fuori Bologna;Fuori Bologna
73558;726;SEMELANO CHIESA;VIA SEMELANO P.L. 2;MONTESE;447;N/A;44.311933, 10.966373;Fuori Bologna;Fuori Bologna
73601;726;CASTEL D`AIANO BIVIO CROC;VIA BOLOGNA BV CAVORRA;CASTEL D`AIANO;447;N/A;44.280302, 11.004429;Fuori Bologna;Fuori Bologna
73601;727;CASTEL D`AIANO BIVIO CROC;VIA BOLOGNA BV CAVORRA;CASTEL D`AIANO;447;N/A;44.280302, 11.004429;Fuori Bologna;Fuori Bologna
73601;747;CASTEL D`AIANO BIVIO CROC;VIA BOLOGNA BV CAVORRA;CASTEL D`AIANO;447;N/A;44.280302, 11.004429;Fuori Bologna;Fuori Bologna
73602;726;CASTEL D`AIANO BIVIO CROC;VIA BOLOGNA FR BV CAVORRA;CASTEL D`AIANO;447;N/A;44.280211, 11.004464;Fuori Bologna;Fuori Bologna
73606;726;CASTEL D`AIANO GIARDINI;VIA BOLOGNA BV PIANESTRINA;CASTEL D`AIANO;447;N/A;44.278357, 11.002358;Fuori Bologna;Fuori Bologna
73606;747;CASTEL D`AIANO GIARDINI;VIA BOLOGNA BV PIANESTRINA;CASTEL D`AIANO;447;N/A;44.278357, 11.002358;Fuori Bologna;Fuori Bologna
73607;726;CASTEL D`AIANO BIVIO MAIO;PIAZZALE VIA DEI PIANI FR 9;CASTEL D`AIANO;447;N/A;44.279383, 10.999298;Fuori Bologna;Fuori Bologna
73608;747;CASTEL D`AIANO BIVIO MAIO;PIAZZALE VIA DEI PIANI 1;CASTEL D`AIANO;447;N/A;44.279384, 10.999761;Fuori Bologna;Fuori Bologna
73614;727;IL POGGETTO;VIA PASSO BRASA FR 4;CASTEL D`AIANO;447;N/A;44.275428, 10.999991;Fuori Bologna;Fuori Bologna
73617;747;CASA CRISTINA;VIA PASSO BRASA FR 11;CASTEL D`AIANO;447;N/A;44.274434, 10.998102;Fuori Bologna;Fuori Bologna
73621;756;PASSO BRASA;VIA PASSO BRASA 22;CASTEL D`AIANO;447;N/A;44.273217, 10.994102;Fuori Bologna;Fuori Bologna
73625;747;CERRO GROSSO;VIA PASSO BRASA FR BV CERRO GROSSO;CASTEL D`AIANO;447;N/A;44.270559, 10.99217;Fuori Bologna;Fuori Bologna
73629;756;CA` NAVETTA;VIA PASSO BRASA FR 25;CASTEL D`AIANO;447;N/A;44.270387, 10.989608;Fuori Bologna;Fuori Bologna
73633;727;SASSOMOLARE BIVIO;VIA PASSO BRASA BV SASSOMOLARE;GAGGIO MONTANO;447;N/A;44.26727, 10.983013;Fuori Bologna;Fuori Bologna
73633;747;SASSOMOLARE BIVIO;VIA PASSO BRASA BV SASSOMOLARE;GAGGIO MONTANO;447;N/A;44.26727, 10.983013;Fuori Bologna;Fuori Bologna
73634;727;SASSOMOLARE BIVIO;VIA PASSO BRASA FR BV SASSOMOLARE;GAGGIO MONTANO;447;N/A;44.267171, 10.983034;Fuori Bologna;Fuori Bologna
73637;756;CANEVACCIA BIVIO;VIA CANEVACCIA 6;CASTEL D`AIANO;447;N/A;44.26119, 10.975404;Fuori Bologna;Fuori Bologna
73638;727;CANEVACCIA BIVIO;VIA CANEVACCIA FR 6;CASTEL D`AIANO;447;N/A;44.261118, 10.975389;Fuori Bologna;Fuori Bologna
73641;727;CHIERICHELLA;VIA CANEVACCIA FR 1;CASTEL D`AIANO;447;N/A;44.261979, 10.971935;Fuori Bologna;Fuori Bologna
73642;747;CHIERICHELLA;VIA CANEVACCIA 1;CASTEL D`AIANO;447;N/A;44.261907, 10.971933;Fuori Bologna;Fuori Bologna
73645;737;MONTESE POLLACCI;VIA PROVINCIALE 161;MONTESE;447;N/A;44.262931, 10.96108;Fuori Bologna;Fuori Bologna
73645;747;MONTESE POLLACCI;VIA PROVINCIALE 161;MONTESE;447;N/A;44.262931, 10.96108;Fuori Bologna;Fuori Bologna
73646;737;MONTESE POLLACCI;VIA PROVINCIALE FR 161;MONTESE;447;N/A;44.262869, 10.961053;Fuori Bologna;Fuori Bologna
73649;737;CASA FIORA;VIA PROVINCIALE 133;MONTESE;447;N/A;44.264477, 10.955995;Fuori Bologna;Fuori Bologna
73649;727;CASA FIORA;VIA PROVINCIALE 133;MONTESE;447;N/A;44.264477, 10.955995;Fuori Bologna;Fuori Bologna
73653;727;CERRO MASERNO BIVIO;VIA A.RIGHI 127;MONTESE;447;N/A;44.267711, 10.952231;Fuori Bologna;Fuori Bologna
73654;727;CERRO MASERNO BIVIO;VIA A.RIGHI FR 127;MONTESE;447;N/A;44.267677, 10.952104;Fuori Bologna;Fuori Bologna
73654;747;CERRO MASERNO BIVIO;VIA A.RIGHI FR 127;MONTESE;447;N/A;44.267677, 10.952104;Fuori Bologna;Fuori Bologna
73798;756;CASTEL D`AIANO CENTRO SPO;VIA DEI PIANI FR 16;CASTEL D`AIANO;447;N/A;44.28078, 10.9915;Fuori Bologna;Fuori Bologna
73798;726;CASTEL D`AIANO CENTRO SPO;VIA DEI PIANI FR 16;CASTEL D`AIANO;447;N/A;44.28078, 10.9915;Fuori Bologna;Fuori Bologna
73801;726;CA` MINGARINO;VIA DEI PIANI PALO TELEFONICO 3;CASTEL D`AIANO;447;N/A;44.280349, 10.986749;Fuori Bologna;Fuori Bologna
73803;726;CASTEL D`AIANO MACELLO;VIA DEI PIANI FR 41;CASTEL D`AIANO;447;N/A;44.277206, 10.979061;Fuori Bologna;Fuori Bologna
73804;726;CASTEL D`AIANO MACELLO;VIA DEI PIANI 39/41;CASTEL D`AIANO;447;N/A;44.277114, 10.979158;Fuori Bologna;Fuori Bologna
73804;756;CASTEL D`AIANO MACELLO;VIA DEI PIANI 39/41;CASTEL D`AIANO;447;N/A;44.277114, 10.979158;Fuori Bologna;Fuori Bologna
73806;726;PIANI DI SOTTO;VIA DEI PIANI FR BV MONTE ALBERTO;CASTEL D`AIANO;447;N/A;44.276896, 10.975116;Fuori Bologna;Fuori Bologna
73807;726;MONTESE ZONA ARTIGIANALE;VIA PADULLE CABINA HERA 720103;MONTESE;447;N/A;44.267916, 10.962324;Fuori Bologna;Fuori Bologna
73808;726;MONTESE ZONA ARTIGIANALE;VIA PADULLE FRONTE CABINA HERA 720103;MONTESE;447;N/A;44.26785, 10.962497;Fuori Bologna;Fuori Bologna
73809;726;MAIOLI;VIA DEI PIANI PALO SIP 99;MONTESE;447;N/A;44.273944, 10.97087;Fuori Bologna;Fuori Bologna
73812;756;MONTESE LA PADULLA;VIA PADULLE 1400;MONTESE;447;N/A;44.269629, 10.96634;Fuori Bologna;Fuori Bologna
73813;747;MONTESE OFFICINA TORRE;VIA A.RIGHI FR CIMITERO;MONTESE;447;N/A;44.269373, 10.947149;Fuori Bologna;Fuori Bologna
73813;737;MONTESE OFFICINA TORRE;VIA A.RIGHI FR CIMITERO;MONTESE;447;N/A;44.269373, 10.947149;Fuori Bologna;Fuori Bologna
73814;726;MONTESE OFFICINA TORRE;VIA A.RIGHI LATO CIMITERO;MONTESE;447;N/A;44.269284, 10.947071;Fuori Bologna;Fuori Bologna
73814;747;MONTESE OFFICINA TORRE;VIA A.RIGHI LATO CIMITERO;MONTESE;447;N/A;44.269284, 10.947071;Fuori Bologna;Fuori Bologna
73814;756;MONTESE OFFICINA TORRE;VIA A.RIGHI LATO CIMITERO;MONTESE;447;N/A;44.269284, 10.947071;Fuori Bologna;Fuori Bologna
73816;;VIA DEI PIANI;VIA DEI PIANI 10M PRIMA INTERSEZIONE CON;CASTEL D`AIANO;447;N/A;44.274858, 10.976351;Fuori Bologna;Fuori Bologna
73817;726;MONTESE MULINO;VIA A.RIGHI FR 74;MONTESE;447;N/A;44.269471, 10.943518;Fuori Bologna;Fuori Bologna
73817;737;MONTESE MULINO;VIA A.RIGHI FR 74;MONTESE;447;N/A;44.269471, 10.943518;Fuori Bologna;Fuori Bologna
73822;727;MONTESE;PIAZZA DELLA REPUBBLICA 9;MONTESE;447;N/A;44.26884, 10.939827;Fuori Bologna;Fuori Bologna
74005;796;BERZANTINA CAMPO SPORTIVO;VIA BERZANTINA 48;CASTEL DI CASIO;576;N/A;44.163994, 10.976909;Fuori Bologna;Fuori Bologna
74009;796;PALAZZO MALPASSI;VIA BERZANTINA 14;SPERANZA;576;N/A;44.167734, 10.978298;Fuori Bologna;Fuori Bologna
74010;796;PALAZZO MALPASSI;VIA BERZANTINA 50 METRI PRIMA CIV. 27;CASTEL DI CASIO;576;N/A;44.169587, 10.978872;Fuori Bologna;Fuori Bologna
74018;796;PRATI VILLA;VIA DON FORNASINI 21;PRATI;576;N/A;44.177382, 10.982611;Fuori Bologna;Fuori Bologna
74021;796;PRATI PASSO DEL SOLDATO;VIA DON FORNASINI 16;PRATI;576;N/A;44.178704, 10.985808;Fuori Bologna;Fuori Bologna
74030;796;GAGGIOLA;VIA PIAN DI CASALE FR BV SCAIALBENGO;CASTEL DI CASIO;580;N/A;44.179338, 10.996426;Fuori Bologna;Fuori Bologna
74042;796;MALFOGNO;VIA PROVINCIALE BV MALFOGNO;CASTEL DI CASIO;580;N/A;44.189365, 11.015508;Fuori Bologna;Fuori Bologna
74045;796;RONCHINI;VIA PROVINCIALE 1;CASTEL DI CASIO;580;N/A;44.190698, 11.021609;Fuori Bologna;Fuori Bologna
74046;796;RONCHINI;VIA PROVINCIALE FR 1;CASTEL DI CASIO;580;N/A;44.190765, 11.021374;Fuori Bologna;Fuori Bologna
74049;796;CASA RICCI;VIA PIAN DI CASALE KM 7+500;CASTEL DI CASIO;580;N/A;44.194063, 11.028319;Fuori Bologna;Fuori Bologna
74050;796;CASA RICCI;VIA PIAN DI CASALE FR KM 7+500;CASTEL DI CASIO;580;N/A;44.194111, 11.028196;Fuori Bologna;Fuori Bologna
74053;796;PIEVE DI CASIO BIVIO SAVI;VIA PROVINCIALE 8;CASTEL DI CASIO;580;N/A;44.195962, 11.033928;Fuori Bologna;Fuori Bologna
74058;796;RONCACCIOLI;VIA PROVINCIALE BV FALDO;CASTEL DI CASIO;580;N/A;44.18844, 11.037698;Fuori Bologna;Fuori Bologna
74061;796;LE POGGIANE;VIA PROVINCIALE 11;CASTEL DI CASIO;580;N/A;44.183801, 11.036875;Fuori Bologna;Fuori Bologna
74065;796;PIEVE DI CASIO LA CASETTA;VIA PROVINCIALE 5;CASTEL DI CASIO;580;N/A;44.180383, 11.032128;Fuori Bologna;Fuori Bologna
75001;757;CROCIALE BIVIO GAGGIO;SP 623 FR 31;GAGGIO MONTANO;577;N/A;44.190562, 10.953373;Fuori Bologna;Fuori Bologna
75001;756;CROCIALE BIVIO GAGGIO;SP 623 FR 31;GAGGIO MONTANO;577;N/A;44.190562, 10.953373;Fuori Bologna;Fuori Bologna
75005;757;PONTE FONTANINA;SP 623 FR 23;GAGGIO MONTANO;577;N/A;44.191538, 10.949989;Fuori Bologna;Fuori Bologna
75006;757;PONTE FONTANINA;SP 623 CIV 23;GAGGIO MONTANO;577;N/A;44.191484, 10.949987;Fuori Bologna;Fuori Bologna
75006;756;PONTE FONTANINA;SP 623 CIV 23;GAGGIO MONTANO;577;N/A;44.191484, 10.949987;Fuori Bologna;Fuori Bologna
75013;756;SAECO PANIGALE;SP 623 FR 35;GAGGIO MONTANO;577;N/A;44.193565, 10.944099;Fuori Bologna;Fuori Bologna
75013;757;SAECO PANIGALE;SP 623 FR 35;GAGGIO MONTANO;577;N/A;44.193565, 10.944099;Fuori Bologna;Fuori Bologna
75017;757;CA DE NALDI;SP 623 KM 77_100;GAGGIO MONTANO;577;N/A;44.190647, 10.937309;Fuori Bologna;Fuori Bologna
75018;756;CA DE NALDI;SP 623 KM 77_100;GAGGIO MONTANO;577;N/A;44.190684, 10.937248;Fuori Bologna;Fuori Bologna
75018;757;CA DE NALDI;SP 623 KM 77_100;GAGGIO MONTANO;577;N/A;44.190684, 10.937248;Fuori Bologna;Fuori Bologna
75019;757;PURGATORIO;SP 623 LOCALITA` PURGATORIO;GAGGIO MONTANO;577;N/A;44.191651, 10.939657;Fuori Bologna;Fuori Bologna
75020;757;PURGATORIO;SP 623 LOCALITA` PURGATORIO;GAGGIO MONTANO;577;N/A;44.191605, 10.939718;Fuori Bologna;Fuori Bologna
75020;756;PURGATORIO;SP 623 LOCALITA` PURGATORIO;GAGGIO MONTANO;577;N/A;44.191605, 10.939718;Fuori Bologna;Fuori Bologna
75021;756;SALDINE;SP 623 FR 6;GAGGIO MONTANO;577;N/A;44.192855, 10.937694;Fuori Bologna;Fuori Bologna
75022;757;SALDINE;SP 623 CIV 6;GAGGIO MONTANO;577;N/A;44.192857, 10.937594;Fuori Bologna;Fuori Bologna
75025;756;GAGGIO MONTANO BV CAVALIE;VIA ROMA FR 108;GAGGIO MONTANO;577;N/A;44.195717, 10.937238;Fuori Bologna;Fuori Bologna
75026;757;GAGGIO MONTANO BV CAVALIE;VIA ROMA 108;GAGGIO MONTANO;577;N/A;44.19571, 10.937125;Fuori Bologna;Fuori Bologna
75030;757;GAGGIO MONTANO;VIA GIORDANI FR 4;GAGGIO MONTANO;577;N/A;44.198244, 10.935256;Fuori Bologna;Fuori Bologna
75033;757;GAGGIO MONTANO ALIGHIERI;VIA GIORDANI 2;GAGGIO MONTANO;577;N/A;44.197832, 10.933553;Fuori Bologna;Fuori Bologna
75206;756;LA GRILLA;VIA PROVINCIALE FR 368;GAGGIO MONTANO;577;N/A;44.201805, 10.938714;Fuori Bologna;Fuori Bologna
75209;756;CASE CAPITANI;VIA PROVINCIALE FR 387;GAGGIO MONTANO;577;N/A;44.203114, 10.942711;Fuori Bologna;Fuori Bologna
75213;756;CA` DEL GROSSO;VIA PROVINCIALE FR 431;GAGGIO MONTANO;577;N/A;44.207918, 10.946099;Fuori Bologna;Fuori Bologna
75217;756;GAGGIO MONTANO PONTE;VIA PROVINCIALE KM 74_400;GAGGIO MONTANO;577;N/A;44.208597, 10.948537;Fuori Bologna;Fuori Bologna
75230;756;CASA TOSCHI;VIA PROVINCIALE KM 73_200;GAGGIO MONTANO;577;N/A;44.206303, 10.960502;Fuori Bologna;Fuori Bologna
75238;756;BARACCHINO;VIA PROVINCIALE FR 91;GAGGIO MONTANO;577;N/A;44.207347, 10.966857;Fuori Bologna;Fuori Bologna
75245;756;CASA SERRAMONTE;VIA PROVINCIALE FR BV LA SERRA;GAGGIO MONTANO;577;N/A;44.214247, 10.968163;Fuori Bologna;Fuori Bologna
75253;756;ABETAIA;SP623 PASSO BRASA 10 METRI DOPO CIV 34;ABETAIA;577;N/A;44.218593, 10.965692;Fuori Bologna;Fuori Bologna
75261;756;ABETAIA BIVIO PIETRACOLOR;VIA PROVINCIALE BV PIETRACOLORA;GAGGIO MONTANO;577;N/A;44.223283, 10.961553;Fuori Bologna;Fuori Bologna
75270;756;ORE BUIE;VIA PROVINCIALE FR 27;GAGGIO MONTANO;447;N/A;44.230737, 10.957419;Fuori Bologna;Fuori Bologna
75273;756;BETTOLINO;VIA PROVINCIALE 130;MONTESE;447;N/A;44.234142, 10.95832;Fuori Bologna;Fuori Bologna
75282;756;PADULLA;VIA PROVINCIALE FR 62;MONTESE;447;N/A;44.239806, 10.953023;Fuori Bologna;Fuori Bologna
75289;756;I GINEPRI;VIA PROVINCIALE FR 1780;MONTESE;447;N/A;44.245145, 10.95826;Fuori Bologna;Fuori Bologna
75293;756;CASA DEL TOSO;VIA PROVINCIALE KM 65_200;MONTESE;447;N/A;44.248786, 10.958005;Fuori Bologna;Fuori Bologna
75306;756;PEDRAZZI;VIA PROVINCIALE FR 27/33;CASTEL D`AIANO;447;N/A;44.257628, 10.970011;Fuori Bologna;Fuori Bologna
75400;756;ABETAIA POSTE;VIA COMUNALE FR 20;ABETAIA;577;N/A;44.218467, 10.966213;Fuori Bologna;Fuori Bologna
75402;756;FORESTO;VIA COMUNALE 158;GAGGIO MONTANO;577;N/A;44.216376, 10.970525;Fuori Bologna;Fuori Bologna
75403;756;FORESTO;VIA COMUNALE FR 158;GAGGIO MONTANO;577;N/A;44.216324, 10.970448;Fuori Bologna;Fuori Bologna
75405;756;MATAROZZI;VIA COMUNALE 69;GAGGIO MONTANO;577;N/A;44.214684, 10.972597;Fuori Bologna;Fuori Bologna
75409;756;BOMBIANA;PIAZZA MARCHIONI 14;BOMBIANA;577;N/A;44.213363, 10.975607;Fuori Bologna;Fuori Bologna
75451;;GELETO;VIA DEL GELETO 69;GAGGIO MONTANO;447;N/A;44.239195, 10.968143;Fuori Bologna;Fuori Bologna
75452;;GELETO;VIA DEL GELETO FR 69;GAGGIO MONTANO;447;N/A;44.239197, 10.968056;Fuori Bologna;Fuori Bologna
75455;;PIETRACOLORA SERRA;VIA DEL GELETO FR 77;GAGGIO MONTANO;447;N/A;44.239066, 10.971996;Fuori Bologna;Fuori Bologna
75459;;CASE PRATI;VIA DEL GELETO 112;GAGGIO MONTANO;447;N/A;44.242919, 10.973039;Fuori Bologna;Fuori Bologna
75464;;CAMPACCIO;VIA DEL SOLDATO FR 51;GAGGIO MONTANO;447;N/A;44.246318, 10.977962;Fuori Bologna;Fuori Bologna
75502;747;MARANO SP67;VIALE DELLA CHIESA 3;MARANO;570;N/A;44.225422, 11.030285;Fuori Bologna;Fuori Bologna
75505;737;LA RIVA;VIA PROVINCIALE 221;GAGGIO MONTANO;570;N/A;44.228453, 11.026896;Fuori Bologna;Fuori Bologna
75506;737;LA RIVA;VIA PROVINCIALE FR 221;GAGGIO MONTANO;570;N/A;44.228507, 11.02691;Fuori Bologna;Fuori Bologna
75513;737;CAMPO DEL MIGLIO;VIA PROVINCIALE FR 264;GAGGIO MONTANO;570;N/A;44.231512, 11.030031;Fuori Bologna;Fuori Bologna
75514;747;CAMPO DEL MIGLIO;VIA PROVINCIALE 264;GAGGIO MONTANO;570;N/A;44.231505, 11.029931;Fuori Bologna;Fuori Bologna
75520;737;SOTTO I CINGI;VIA MARANO CANEVACCIA SP 67 KM 3+150;GAGGIO MONTANO;570;N/A;44.234496, 11.025776;Fuori Bologna;Fuori Bologna
75522;737;ROCCA PITIGLIANA PODERE;VIA PROVINCIALE KM 3_650;GAGGIO MONTANO;570;N/A;44.235734, 11.020922;Fuori Bologna;Fuori Bologna
75526;737;SORBOLA;VIA PROVINCIALE 295;GAGGIO MONTANO;570;N/A;44.23875, 11.015315;Fuori Bologna;Fuori Bologna
75530;747;CASE BERTETTO;VIA PROVINCIALE FR 282;GAGGIO MONTANO;570;N/A;44.240106, 11.015048;Fuori Bologna;Fuori Bologna
75533;747;S. MARIA VILLIANA BV AFFR;VIA PROVINCIALE CABINA ENEL;GAGGIO MONTANO;570;N/A;44.242072, 11.011759;Fuori Bologna;Fuori Bologna
75537;747;CASA RIMESSA;VIA PROVINCIALE 108;SANTAMARIA VILLIANA;570;N/A;44.243505, 11.008113;Fuori Bologna;Fuori Bologna
75537;737;CASA RIMESSA;VIA PROVINCIALE 108;SANTAMARIA VILLIANA;570;N/A;44.243505, 11.008113;Fuori Bologna;Fuori Bologna
75538;737;CASA RIMESSA;VIA PROVINCIALE FR 108;SANTAMARIA VILLIANA;570;N/A;44.243442, 11.008111;Fuori Bologna;Fuori Bologna
75541;737;SANTA MARIA VILLIANA;VIA PROVINCIALE (SP 67) FR 4;SANTAMARIA VILLIANA;570;N/A;44.24401, 11.004449;Fuori Bologna;Fuori Bologna
75542;737;SANTA MARIA VILLIANA;VIA PROVINCIALE (SP 67) 1;SANTAMARIA VILLIANA;570;N/A;44.243933, 11.004258;Fuori Bologna;Fuori Bologna
75542;747;SANTA MARIA VILLIANA;VIA PROVINCIALE (SP 67) 1;SANTAMARIA VILLIANA;570;N/A;44.243933, 11.004258;Fuori Bologna;Fuori Bologna
75545;737;BARBESINO BETTINELLI;VIA PROVINCIALE 183;GAGGIO MONTANO;570;N/A;44.244597, 11.003341;Fuori Bologna;Fuori Bologna
75545;747;BARBESINO BETTINELLI;VIA PROVINCIALE 183;GAGGIO MONTANO;570;N/A;44.244597, 11.003341;Fuori Bologna;Fuori Bologna
75546;747;BARBESINO BETTINELLI;VIA PROVINCIALE FR 183;GAGGIO MONTANO;570;N/A;44.24459, 11.003203;Fuori Bologna;Fuori Bologna
75549;747;PIETRACOLORA CROCETTE;VIA PROVINCIALE FR 210;GAGGIO MONTANO;570;N/A;44.246799, 10.997379;Fuori Bologna;Fuori Bologna
75561;737;SARSA MARTINETTA BIVIO;VIA PROVINCIALE BV SARSA-MARTINETTA;GAGGIO MONTANO;447;N/A;44.252521, 10.984183;Fuori Bologna;Fuori Bologna
75562;737;SARSA MARTINETTA BIVIO;VIA PROVINCIALE FR BV SARSA-MARTINETTA;GAGGIO MONTANO;447;N/A;44.252522, 10.984108;Fuori Bologna;Fuori Bologna
75566;737;MOLINO DEL MONTE;VIA PROVINCIALE FR 159;GAGGIO MONTANO;447;N/A;44.256181, 10.982853;Fuori Bologna;Fuori Bologna
75569;737;BORRA;VIA PROVINCIALE 172;GAGGIO MONTANO;447;N/A;44.259754, 10.98033;Fuori Bologna;Fuori Bologna
75570;747;BORRA;VIA PROVINCIALE FR 172;GAGGIO MONTANO;447;N/A;44.25971, 10.980303;Fuori Bologna;Fuori Bologna
75585;747;ROCCA PITIGLIANA BV CASEL;VIA ROCCA PITIGLIANA 197;ROCCA PITIGLIANA;570;N/A;44.237358, 11.010547;Fuori Bologna;Fuori Bologna
75703;757;GAGGIO MONTANO ALTO;VIA ALIGHIERI FR CABINA ENEL;GAGGIO MONTANO;577;N/A;44.196851, 10.930855;Fuori Bologna;Fuori Bologna
75710;757;CASONE DI POLDO;VIA PROVINCIALE FR 1;LIZZANO IN BELVEDERE;579;N/A;44.18839, 10.921132;Fuori Bologna;Fuori Bologna
75721;757;CASACCIA;VIA PROVINCIALE FR BV CANOVA;LIZZANO IN BELVEDERE;579;N/A;44.190932, 10.899968;Fuori Bologna;Fuori Bologna
75722;757;CASACCIA;VIA PROVINCIALE BV CANOVA;LIZZANO IN BELVEDERE;579;N/A;44.190862, 10.899878;Fuori Bologna;Fuori Bologna
75725;757;QUERCIOLA PRIMARELLA;VIA PROVINCIALE BV PRIMARELLA;LIZZANO IN BELVEDERE;579;N/A;44.192152, 10.893763;Fuori Bologna;Fuori Bologna
75726;757;QUERCIOLA PRIMARELLA;VIA PROVINCIALE FR BV PRIMARELLA;LIZZANO IN BELVEDERE;579;N/A;44.192053, 10.89376;Fuori Bologna;Fuori Bologna
75729;776;QUERCIOLA DIRETTISSIMA;VIA DIRETTISSIMA FR 12;QUERCIOLA;579;N/A;44.192641, 10.887584;Fuori Bologna;Fuori Bologna
