codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint;zona_prossimita;area_statistica
660013;551;NONANTOLA  AUTOSTAZIONE;TERMINAL BUS NONANTOLA PENSILINA NORD;NONANTOLA;427;N/A;44.679949, 11.03887;Fuori Bologna;Fuori Bologna
660022;551;CAMPAZZO;VIA LUIGI CARLO FARINI;CAMPAZZO;427;N/A;44.701031, 11.036455;Fuori Bologna;Fuori Bologna
660023;552;NONANTOLA CASA SIMONI;VIA PROVINCIALE EST 10;NONANTOLA;427;N/A;44.676991, 11.049214;Fuori Bologna;Fuori Bologna
660024;552;NONANTOLA CASA SIMONI;VIA PROVINCIALE EST FR 232;NONANTOLA;427;N/A;44.677765, 11.047247;Fuori Bologna;Fuori Bologna
660025;552;NONANTOLA CASE PICCININI;VIA PROVINCIALE EST;NONANTOLA;427;N/A;44.675115, 11.056907;Fuori Bologna;Fuori Bologna
660026;552;NONANTOLA CASE PICCININI;VIA PROVINCIALE EST;NONANTOLA;427;N/A;44.675151, 11.058409;Fuori Bologna;Fuori Bologna
660027;538;VIA LARGA;VIA PROVINCIALE EST CIV.66-68;VIA LARGA;427;N/A;44.672687, 11.068226;Fuori Bologna;Fuori Bologna
660027;552;VIA LARGA;VIA PROVINCIALE EST CIV.66-68;VIA LARGA;427;N/A;44.672687, 11.068226;Fuori Bologna;Fuori Bologna
660030;552;LA SVOLTA;via provinciale est fr 170;NONANTOLA;427;N/A;44.670464, 11.082087;Fuori Bologna;Fuori Bologna
660037;551;CASE PONTE FOSSA;VIA DI MEZZO (SP14) FR.53;NONANTOLA;427;N/A;44.699314, 11.054394;Fuori Bologna;Fuori Bologna
661002;551;RAMI DI RAVARINO;VIA MAESTRA;RAMI;421;N/A;44.729547, 11.080557;Fuori Bologna;Fuori Bologna
661003;551;RAMI DI RAVARINO;VIA MAESTRA;RAMI;421;N/A;44.729593, 11.080521;Fuori Bologna;Fuori Bologna
661005;551;LOBERSO;VIA MAESTRA;RAVARINO;421;N/A;44.726485, 11.086521;Fuori Bologna;Fuori Bologna
661006;551;RAVARINO;VIA ROMA;RAVARINO;421;N/A;44.724026, 11.098896;Fuori Bologna;Fuori Bologna
661008;551;MOROTORTO;VIA MOROTORTO;MOROTORO;421;N/A;44.71814, 11.117357;Fuori Bologna;Fuori Bologna
661009;551;MOROTORTO;;MOROTORO;421;N/A;44.718573, 11.116325;Fuori Bologna;Fuori Bologna
663001;346;PASSO SEGNI;VIA A. GUIDETTI;BARICELLA;631;N/A;44.704409, 11.588238;Fuori Bologna;Fuori Bologna
665009;951;BOLOGNA - TANGENZIALE SAN;;BOLOGNA;500;San Donato - San Vitale;44.493491, 11.390112;CIRENAICA - MASSARENTI - SCANDELLARA;GUELFA
665010;951;GIAMBOLOGNA;;BOLOGNA;500;San Donato - San Vitale;44.493226, 11.386013;CIRENAICA - MASSARENTI - SCANDELLARA;GUELFA
665012;951;RIMESSE STAZIONE;;BOLOGNA;500;San Donato - San Vitale;44.493396, 11.373518;CIRENAICA - MASSARENTI - SCANDELLARA;MENGOLI
665013;951;RIMESSE STAZIONE;;BOLOGNA;500;San Donato - San Vitale;44.493278, 11.373551;CIRENAICA - MASSARENTI - SCANDELLARA;MENGOLI
665018;951;ZANOLINI;;BOLOGNA;500;San Donato - San Vitale;44.497488, 11.359383;CIRENAICA - MASSARENTI - SCANDELLARA;CIRENAICA
666015;951;BUDRIO - STAZIONE;;BUDRIO;535;N/A;44.53339, 11.528843;Fuori Bologna;Fuori Bologna
670005;551;BENI COMUNALI;VIA MEZZO LEVANTE;BENI COMUNALI;555;N/A;44.716025, 11.168628;Fuori Bologna;Fuori Bologna
670016;551;MUZZA SUD;VIA MUZZA SUD;RAVARINO;421;N/A;44.729337, 11.119875;Fuori Bologna;Fuori Bologna
670022;551;BENI COMUNALI BIVIO ZUCCH;VIA MEZZO LEVANTE;BENI COMUNALI;555;N/A;44.713579, 11.17745;Fuori Bologna;Fuori Bologna
673026;;MALALBERGO;VIA NAZIONALE;MALALBERGO;643;N/A;44.718689, 11.533989;Fuori Bologna;Fuori Bologna
678031;551;DECIMA CALCINA NUOVA;VIA CALCINA NUOVA;SAN MATTEO DELLA DECIMA;650;N/A;44.705184, 11.227653;Fuori Bologna;Fuori Bologna
680002;552;S.AGATA B. GRATTACIELO;CORSO A. PIETROBUONI;SANT`AGATA BOLOGNESE;554;N/A;44.662454, 11.131726;Fuori Bologna;Fuori Bologna
680007;552;SANT`AGATA CASA CANTONIER;VIA MODENA;SANT`AGATA BOLOGNESE;553;N/A;44.663499, 11.113777;Fuori Bologna;Fuori Bologna
680009;552;SANT`AGATA BOLOGNESE;VIA MODENA;SANT`AGATA BOLOGNESE;553;N/A;44.660366, 11.123476;Fuori Bologna;Fuori Bologna
