Station_Name,Latitude,Longitude,Population_Served,Type
TREBBO RESISTENZA,44.55675188,11.3209373,0.0,bus
TREBBO PRONI,44.553389085,11.31826898,0.0,bus
TREBBO LAME-FOSCOLO,44.55717198,11.32158356,0.0,bus
TREBBO LAME-DON MINZONI,44.556927044999995,11.317993235,0.0,bus
TREBBO CORTICELLA-COLLODI,44.55558115,11.32478915,0.0,bus
VIADAGOLA CHIESA,44.55636187,11.42913765,0.0,bus
GRANAROLO MATTEUCCI,44.54632288,11.44362779,0.0,bus
STAZIONE CASALECCHIO GARIBALDI,44.48232086,11.2738054,0.0,bus
CICOGNA FANTINI,44.461073135,11.419523394999999,0.0,bus
PIAN DI MACINA ALLENDE,44.402185765,11.340769165000001,0.0,bus
PIAN DI MACINA GARGANELLI,44.406476705,11.343099285000001,0.0,bus
PIANORO N. BIVIO RESISTENZA,44.392190625,11.340955125,0.0,bus
PIANORO N. CAMPO SPORTIVO,44.383959704999995,11.34558294,0.0,bus
PIANORO N. DEPOSITO GAS,44.417474045,11.35114555,0.0,bus
PIANORO N. RESISTENZA,44.390969025000004,11.34350772,0.0,bus
PIANORO N. SPORT,44.38743994,11.3475891,0.0,bus
PIANORO N. VILLAGGIO MARTINO,44.390412225,11.346098545,0.0,bus
PIANORO N. ZONA ARTIGIANALE,44.395893305,11.342448715,0.0,bus
PIANORO N.MUNICIPIO,44.38496329,11.342990605,0.0,bus
PIANORO STAZIONE,44.379495954999996,11.34242213,0.0,bus
PIANORO V. FONDOVALLE SAVENA,44.37050427,11.33878144,0.0,bus
PIANORO V. MAESTA`,44.374810765,11.3404517,0.0,bus
PIANORO VECCHIO,44.372056515,11.341890865,0.0,bus
PILASTRINO DI ZOLA,44.48851931,11.225416540000001,0.0,bus
PIO LA TORRE,44.457771805,11.423696015,0.0,bus
PONTE RONCA SCUOLE,44.49942079,11.19603114,0.0,bus
BOARIA,44.41003173,11.347750155,0.0,bus
CICOGNA VIGANO`,44.459087780000004,11.422733115,0.0,bus
PIAN DI MACINA,44.399999414999996,11.34037586,0.0,bus
OZZANO PIAVE,44.441401505,11.48553376,0.0,bus
OZZANO,44.445028265,11.475936485,0.0,bus
GRANAROLO,44.55471283,11.448784325,0.0,bus
GRANAROLO SCUOLA MEDIA,44.5515947,11.44436184,0.0,bus
GRANAROLO TARTARINI,44.55723492,11.450408750000001,0.0,bus
GRANAROLO HOTEL KING,44.54176823,11.44061229,0.0,bus
IDICE,44.459944195,11.43659609,0.0,bus
IDICE TRE PONTI,44.45663000333334,11.444382556666667,0.0,bus
GRANAROLO FOGGIA NUOVA,44.53753819,11.4337605,0.0,bus
GRANAROLO DE ROSSI,44.55829624,11.45069742,0.0,bus
GRANAROLO DALLA CHIESA,44.55245249,11.44132422,0.0,bus
LAVINO DI SOPRA,44.49123117,11.218558605,0.0,bus
OLMATELLO,44.448460960000006,11.466950390000001,0.0,bus
FUNO PIAZZA RESISTENZA,44.59444432,11.36956505,0.0,bus
MARESCOTTA,44.454360199999996,11.451161710000001,0.0,bus
FUNO AGUCCHI,44.58679353,11.36871628,0.0,bus
FUNO,44.59115606,11.36843214,0.0,bus
FRABACCIA,44.56999571,11.36031238,0.0,bus
MERIDIANA CRISTONI,44.48294882,11.27137442,0.0,bus
MURA SAN CARLO,44.44975538,11.41619269,0.0,bus
MUSIANO,44.399254935,11.345396489999999,0.0,bus
CICOGNA FONDAZIONE CIRULLI,44.464440145,11.424763160000001,0.0,bus
CICOGNA DONINI,44.461551785,11.422025845,0.0,bus
CASALECCHIO C.S. ALLENDE,44.46149889,11.278971485,0.0,bus
CERETOLO VIVALDI,44.483661175,11.24606329,0.0,bus
SAN LAZZARO KENNEDY - SCORNETTA ,44.46045921,11.40922642,0.0,bus
SAN LAZZARO MUNICIPIO,44.470665485,11.408307189999999,0.0,bus
SAN LAZZARO PERTINI,44.45868499,11.40884397,0.0,bus
SAN LAZZARO PISCINA KENNEDY,44.462602075,11.409314595000001,0.0,bus
SAN LAZZARO POGGI,44.46818616,11.41473041,0.0,bus
SAN LAZZARO STAZIONE,44.47842609,11.4158108,0.0,bus
CASELLE SPERANZA,44.473608545,11.41361713,0.0,bus
CASELLE GRAMSCI,44.471256065000006,11.41066103,0.0,bus
CASELLE CA` RICCHI,44.476064199999996,11.41593568,0.0,bus
CASALECCHIO VILLA CHIARA,44.48252034,11.286636435,0.0,bus
CASALECCHIO STAZIONE,44.474835445,11.276221660000001,0.0,bus
CASALECCHIO SANTA LUCIA,44.47975164,11.26853659,0.0,bus
CASALECCHIO SAN MARTINO,44.477569215,11.28454155,0.0,bus
CASALECCHIO RONZANI,44.46515852,11.278010015,0.0,bus
CASALECCHIO PIAVE,44.4800836,11.27542143,0.0,bus
CASALECCHIO MARCONI,44.47712896,11.27759891,0.0,bus
CASALECCHIO LIDO,44.4697119,11.277515390000001,0.0,bus
CASALECCHIO CHIUSA,44.47712648,11.281217340000001,0.0,bus
CASALECCHIO CASA CONOSCENZA,44.478257235,11.276675015,0.0,bus
SAN LAZZARO KENNEDY - SCORNETTA,44.46038859,11.40918831,0.0,bus
SAN LAZZARO KENNEDY,44.464351115,11.410298435,0.0,bus
SAN LAZZARO JUSSI,44.468953385,11.41291049,0.0,bus
ROTONDA PULCE,44.45080659,11.41016954,0.0,bus
CERETOLO TENUTA LAURO,44.4816189,11.250010805,0.0,bus
GRANAROLO ROMA,44.55096686,11.44639989,0.0,bus
CERETOLO,44.48130678,11.257185284999998,0.0,bus
QUARTO S.DONATO RISORGIMENTO,44.53153443,11.42472794,0.0,bus
RASTIGNANO,44.44072981666667,11.354110563333334,0.0,bus
RIALE,44.48556862,11.23694541,0.0,bus
RIALE CENTRO,44.48459489,11.24072469,0.0,bus
RIOLO,44.435258575,11.35484308,0.0,bus
SAN BIAGIO CEFALONIA,44.455543219999996,11.274309065,0.0,bus
SAN LAZZARO GIOVANNI XXIII,44.46442148,11.411256415,0.0,bus
SAN BIAGIO MICCA,44.45723443,11.274712555,0.0,bus
SAN BIAGIO RESISTENZA,44.45532587,11.27137828,0.0,bus
SAN CAMILLO,44.44887437,11.41639794,0.0,bus
CASTEL MAGGIORE TRANCHINA,44.58067877,11.36602261,0.0,bus
CASTEL MAGGIORE BONDANELLO,44.57699025,11.36519673,0.0,bus
CASTEL MAGGIORE,44.57408868,11.36310247,0.0,bus
SAN LAZZARO CIMITERO,44.462335644999996,11.43021623,0.0,bus
SAN LAZZARO DI VITTORIO,44.467516795,11.413088975,0.0,bus
CERETOLO CHIESA,44.480678659999995,11.261246625,0.0,bus
