Station,Degree,Degree Centrality,Closeness Centrality,Betweenness Centrality,Coreness
SAN LAZZARO VILLA RODRIGUEZ,2,0.001597444089456869,0.00012293082936263864,0.0367578141959276,2
SAN LAZZARO VILLA RODRIGUEZ,2,0.001597444089456869,0.0001206867215060186,0.02753962963814252,2
SAN LAZZARO MUNICIPIO,4,0.003194888178913738,0.00012069245975506582,0.03666715190148201,2
SAN LAZZARO MUNICIPIO,3,0.0023961661341853034,0.0001176908280775077,0.02706844109377035,2
SAN LAZZARO JUSSI,2,0.001597444089456869,0.00011574433847454312,0.013591682564491538,2
RIZZOLI,3,0.0023961661341853034,0.00020444633101972669,0.058470795248785,2
SAN LAZZARO MODENA,2,0.001597444089456869,0.00011282896271182803,0.005919864747179892,2
SAN LAZZARO MARZABOTTO,2,0.001597444089456869,0.00011506269248762524,0.011686497447409485,2
SAN LAZZARO DI VITTORIO,3,0.0023961661341853034,0.00011427448923674736,0.014186733680148533,2
SAN LAZZARO PERTINI,2,0.001597444089456869,0.00010406691480120838,0.0011173170090125982,2
SAN LAZZARO DI VITTORIO,3,0.0023961661341853034,0.00011385067315066961,0.014159918071932232,2
SAN LAZZARO KENNEDY,2,0.001597444089456869,0.0001102193667616084,0.004607176878305662,2
SAN LAZZARO KENNEDY,2,0.001597444089456869,0.0001080871918817924,0.0037286464757906135,2
SAN LAZZARO PISCINA KENNEDY,2,0.001597444089456869,0.0001078201235502281,0.0031629648357990926,2
SAN LAZZARO PISCINA KENNEDY,2,0.001597444089456869,0.00010605139828156333,0.0023904199324246674,2
SAN LAZZARO KENNEDY - SCORNETTA,2,0.001597444089456869,0.00010535975577362914,0.0018464461657511052,2
SAN LAZZARO KENNEDY - SCORNETTA ,2,0.001597444089456869,0.00010428355259870736,0.0013893038923493792,2
PIAZZA MAGGIORE,2,0.001597444089456869,0.000188982223417357,0.005327367498972068,2
RIZZOLI,5,0.003993610223642172,0.0002065957888471927,0.03689572303818287,2
PORTA GALLIERA,4,0.003194888178913738,0.0001930904877158723,0.013415465710498694,2
BITONE,3,0.0023961661341853034,0.00015783580817513873,0.028178096500435436,2
BITONE,3,0.0023961661341853034,0.00015507314701796753,0.016463506511085062,2
SARDEGNA,3,0.0023961661341853034,0.00015570650536437107,0.028290466668198986,2
LOMBARDIA,2,0.001597444089456869,0.00015330250993956872,0.013032385593122945,2
CALABRIA,3,0.0023961661341853034,0.00015313087356812438,0.030273544742480778,2
SARDEGNA,3,0.0023961661341853034,0.00015414544641444494,0.027198688333678105,2
MILANO,2,0.001597444089456869,0.0001507880222260743,0.01622471990458751,2
STRADA MAGGIORE,3,0.0023961661341853034,0.0002009977492826212,0.06186871588990788,2
CALABRIA,3,0.0023961661341853034,0.00015214252751913265,0.026940747721311768,2
CHIESA SAN LORENZO,2,0.001597444089456869,0.00014827440681014015,0.01540237458595424,2
CHIESA SAN LORENZO,2,0.001597444089456869,0.0001489816827972482,0.011802698416346794,2
MAZZONI,2,0.001597444089456869,0.00014541199314458393,0.011046753651391985,2
MAZZONI,2,0.001597444089456869,0.0001469013689330999,0.014881385626323223,2
FIRENZE,4,0.003194888178913738,0.00014713307239062407,0.017915380155939145,2
FIRENZE,4,0.003194888178913738,0.00014677971320812446,0.025990709030219914,2
PIAZZA GALVANI,2,0.001597444089456869,0.00019780406751432352,0.005836864055081813,2
LONGO CAVAZZONI,2,0.001597444089456869,0.0001437667639201161,0.005557215569397517,2
LONGO CAVAZZONI,2,0.001597444089456869,0.00014246982904065445,0.003348120225864037,2
PIAZZALE ATLETI AZZURRI,4,0.003194888178913738,0.00014494294690068477,0.009441647959587601,2
