Station,Degree,Degree Centrality,Closeness Centrality,Betweenness Centrality,Coreness
Notting Hill Gate,4,0.013289036544850499,7.827066523207907e-05,0.1089922480620155,2
Old Street,2,0.006644518272425249,8.060533208977874e-05,0.00248062015503876,2
Osterley,2,0.006644518272425249,4.4585688188279394e-05,0.03920265780730897,2
Oval,2,0.006644518272425249,7.347563413520107e-05,0.03242524916943522,2
Oxford Circus,6,0.019933554817275746,8.958582697680637e-05,0.23291251384274642,2
Paddington,5,0.016611295681063124,8.10516431586282e-05,0.14496124031007754,2
Park Royal,2,0.006644518272425249,5.223510275638353e-05,0.04967884828349945,2
Parsons Green,2,0.006644518272425249,6.595014401265476e-05,0.032779623477297896,1
Perivale,2,0.006644518272425249,4.7659576762740505e-05,0.032779623477297896,1
Picadilly Circus,4,0.013289036544850499,8.860561089801876e-05,0.058294573643410855,2
Pimlico,2,0.006644518272425249,7.841042092699884e-05,0.04516057585825028,2
Pinner,2,0.006644518272425249,3.962959728206927e-05,0.06445182724252492,1
Plaistow,2,0.006644518272425249,5.971961245880132e-05,0.07065337763012182,1
Poplar,4,0.013289036544850499,6.828517877524968e-05,0.09362126245847177,2
Preston Road,2,0.006644518272425249,4.9368324950988385e-05,0.11260243632336656,2
Prince Regent,2,0.006644518272425249,5.560056469356272e-05,0.032779623477297896,1
Putney Bridge,2,0.006644518272425249,6.214652194799943e-05,0.026312292358803988,1
Queen's Park,2,0.006644518272425249,6.471183690711822e-05,0.05820598006644519,1
Queensbury,2,0.006644518272425249,4.398590806773061e-05,0.013244739756367665,1
Queensway,2,0.006644518272425249,7.86392699000552e-05,0.048925802879291255,2
Ravenscourt Park,2,0.006644518272425249,6.67970204860231e-05,0.005382059800664452,2
Rayners Lane,3,0.009966777408637873,4.258249981753557e-05,0.06077519379844962,2
Redbridge,2,0.006644518272425249,4.636213559715517e-05,0.031849390919158366,2
Regent's Park,2,0.006644518272425249,8.570889022132529e-05,0.0,2
Richmond,1,0.0033222591362126247,4.7931716973838785e-05,0.0,1
Roding Valley,2,0.006644518272425249,4.09751007784625e-05,0.013576965669988927,2
Rotherhithe,2,0.006644518272425249,7.204208773284201e-05,0.00292358803986711,2
Royal Albert,2,0.006644518272425249,5.3030902621153214e-05,0.026312292358803988,1
Royal Oak,2,0.006644518272425249,7.635636193734777e-05,0.022015503875968994,2
Royal Victoria,2,0.006644518272425249,5.89821209597676e-05,0.04558139534883721,1
Ruislip,2,0.006644518272425249,3.7155968509618545e-05,0.019800664451827245,1
Ruislip Manor,2,0.006644518272425249,3.8035085023142285e-05,0.026312292358803988,1
Russell Square,2,0.006644518272425249,8.548024661767333e-05,0.014750830564784054,2
Seven Sisters,2,0.006644518272425249,5.5225552438265036e-05,0.019800664451827245,1
Shadwell,5,0.016611295681063124,7.697953738170036e-05,0.14068660022148394,2
Shepherd's Bush (C),2,0.006644518272425249,7.096276829302599e-05,0.061926910299003324,2
Shepherd's Bush (H),2,0.006644518272425249,6.598369334774159e-05,0.005714285714285714,2
Shoreditch,1,0.0033222591362126247,7.376157957788884e-05,0.0,1
Sloane Square,2,0.006644518272425249,8.167184479627991e-05,0.11089700996677741,2
Snaresbrook,2,0.006644518272425249,4.913170661403748e-05,0.06343300110741971,2
Southfields,2,0.006644518272425249,5.369924008993324e-05,0.013244739756367665,1
South Ealing,2,0.006644518272425249,5.329875417952192e-05,0.05820598006644519,2
South Harrow,2,0.006644518272425249,4.186313767828591e-05,0.03007751937984496,2
South Kensington,3,0.009966777408637873,7.97879310469548e-05,0.16912513842746402,2
South Kenton,2,0.006644518272425249,4.109879848518457e-05,0.013244739756367665,1
South Quay,2,0.006644518272425249,6.589030687625528e-05,0.05191583610188261,1
South Ruislip,2,0.006644518272425249,3.7666094702071104e-05,0.013244739756367665,1
South Wimbledon,2,0.006644518272425249,4.560967576972066e-05,0.006644518272425249,1
South Woodford,2,0.006644518272425249,4.644020082887797e-05,0.057297895902547066,2
Stamford Brook,2,0.006644518272425249,6.491659661345475e-05,0.0012181616832779624,2
Stanmore,1,0.0033222591362126247,3.884354279042823e-05,0.0,1
Stepney Green,2,0.006644518272425249,7.400088972757933e-05,0.1916279069767442,2
Stockwell,4,0.013289036544850499,7.185403859933821e-05,0.06622369878183831,2
Stonebridge Park,2,0.006644518272425249,4.8601725230581085e-05,0.032779623477297896,1
Stratford,4,0.013289036544850499,6.270035036470125e-05,0.13043189368770766,2
St. James's Park,2,0.006644518272425249,8.434316339739116e-05,0.0993576965669989,2
St. John's Wood,2,0.006644518272425249,7.724264601213073e-05,0.005825027685492802,2
