station1,station2,line,time
217,218,35,2
218,219,35,2
219,311,35,2
340,342,35,2
76,267,35,1
267,269,35,2
251,269,35,2
251,270,35,2
249,270,35,1
249,349,35,1
336,349,35,1
350,351,37,2
351,352,37,2
352,353,37,1
353,354,37,2
354,355,37,2
355,356,37,1
356,357,37,1
357,358,37,1
358,359,37,1
359,360,37,1
360,361,37,2
361,362,37,1
362,363,37,1
363,364,37,1
364,365,37,1
305,365,37,1
55,305,37,1
27,55,37,1
26,27,37,1
25,26,37,2
25,366,37,1
74,366,37,1
73,74,37,1
73,105,37,1
105,106,37,1
106,367,37,2
367,368,37,2
368,369,37,2
106,132,37,1
73,132,37,1
26,234,37,2
234,305,37,1
305,364,37,1
364,370,37,1
363,370,37,1
205,363,37,2
191,205,37,1
191,371,37,1
360,371,37,1
128,372,11,1
372,373,11,1
373,374,11,2
127,374,11,2
243,335,101,6
335,336,101,1
251,336,101,3
76,251,101,3
76,133,101,1
19,133,101,1
19,78,101,1
28,78,101,3
28,364,101,1
343,364,101,3
343,347,101,8
69,150,102,6
69,72,102,2
25,72,102,3
25,76,102,3
76,133,102,1
316,319,103,12
76,319,103,3
76,133,103,1
19,133,103,1
19,78,103,1
78,101,103,4
101,357,103,4
258,357,103,9
327,347,35,4
327,328,35,3
