id,name,latitude,longitude,zone,type
89,Sardegna,44.47584,11.38383,Savena,Station
90,Calabria,44.4745,11.3827,Savena,Station
91,Milano,44.47282,11.3815,Savena,Station
92,Chiesa San Lorenzo,44.47201,11.38303,Savena,Station
93,Mazzoni,44.47121,11.38573,Savena,Station
94,Longo Cavazzoni,44.46836,11.38516,Savena,Station
95,Longo,44.46588,11.38404,Savena,Station
96,Piazzale Atleti Azzurri,44.46431,11.38198,Savena,Station
97,Bitone,44.47974,11.38364,Savena,Station
98,Pontevecchio,44.48182,11.37915,Savena,Station
99,Fermi,44.48382,11.37381,Savena,Station
100,Alemanni,44.48646,11.36681,San Donato,Station
101,Porta Mazzini,44.48847,11.36158,San Donato,Station
102,Porta San Donato,44.49888,11.35364,Centro,Station
103,Irnerio,44.49977,11.34995,Centro,Station
104,Sferisterio,44.50056,11.34681,Centro,Station
105,Bolognina,44.5121,11.34604,Centro,Station
106,Bolognese,44.51223,11.34228,Centro,Station
107,Fioravanti,44.51401,11.34207,Centro,Station
108,Fondo Comini,44.51557,11.34232,Navile,Station
109,Arcoveggio Chiesa,44.51704,11.34146,Navile,Station
110,Palestra Ippodromo,44.51931,11.34306,Navile,Station
111,Villa Erbosa,44.52173,11.34386,Navile,Station
112,Navile,44.5248,11.34519,Navile,Campus
113,LAUS Ingegneria,44.52778,11.34636,Navile,Campus
114,Cooperazione,44.53197,11.34717,Navile,Station
115,Don Bedetti,44.53422,11.34808,Navile,Station
116,Lapidari,44.53645,11.35031,Navile,Station
117,Genova,44.47283,11.39442,Savena,Station
118,Centro Civico Mazzini,44.47444,11.39019,Savena,Station
119,Bellaria Lombardia,44.47632,11.38677,Savena,Station
120,Bertalia,44.52147,11.31248,Navile,Station
121,Lazzaretto,44.52364,11.3132,Navile,Campus
122,Agucchi,44.52435,11.31605,Navile,Station
123,Pescarola,44.52257,11.32005,Navile,Station
124,Selva Pescarola,44.52174,11.32131,Navile,Station
125,Zanardi,44.51877,11.32364,Navile,Station
126,Pane,44.52111,11.32491,Navile,Station
127,De Gama,44.52195,11.32786,Navile,Station
128,Marco Polo,44.51919,11.32887,Navile,Station
129,Gagarin,44.5172,11.32954,Navile,Station
130,Navile,44.51708,11.33221,Navile,Station
131,Rotonda Gobetti,44.51695,11.33747,Navile,Station
132,Bolognina,44.51134,11.34443,Centro,Station
133,Via Ugo Bassi,44.49531,11.34007,Centro,Station
134,Fondazza,44.48698,11.35404,Centro,Station
135,Piazza Trento Trieste,44.48669,11.36186,San Donato,Station
136,Savioli,44.4858,11.36466,San Donato,Station
137,Mezzofanti,44.48344,11.36526,Santo Stefano,Station
138,Albini,44.48221,11.36854,Santo Stefano,Station
139,Largo Lercaro,44.47983,11.36998,Santo Stefano,Station
140,Orti,44.47733,11.37033,Savena,Station
141,Lunetta Gamberini,44.47656,11.37314,Savena,Station
142,Po,44.47589,11.37719,Savena,Station
143,Torino,44.47264,11.37762,Savena,Station
144,Armi,44.46906,11.37689,Savena,Station
145,Marcello,44.46649,11.37622,Savena,Station
146,Corticelli,44.463,11.37547,Savena,Station
147,Corelli,44.45849,11.37346,Savena,Station
148,Rotonda Corelli,44.45582,11.372,Savena,Station
149,ITC Luxemburg,44.51422,11.31151,Porto-Saragozza,Station
150,Corticella Stazione,44.5417,11.35188,Navile,Station
151,Casa Buia,44.53894,11.35167,Navile,Station
152,Cavazzoni,44.4708,11.37805,Savena,Station
153,Cherubini,44.47044,11.38105,Savena,Station
154,Gubellini,44.46904,11.38146,Savena,Station
155,Battaglia,44.46664,11.37943,Savena,Station
156,Albornoz,44.465,11.37823,Savena,Station
157,San Ruffillo Stazione,44.46357,11.37882,Savena,Station
158,Mario,44.46059,11.37918,Savena,Station
159,Ponticella,44.45944,11.37862,Savena,Station
160,Ponticella Brizzi,44.45796,11.37755,Savena,Station
161,Savioli,44.48428,11.36305,Santo Stefano,Station
162,Piazza Malpighi,44.49399,11.33627,Centro,Station
163,Sant'Isaia,44.49376,11.33247,Porto-Saragozza,Station
164,Nosadella,44.49,11.33386,Porto-Saragozza,Station
165,Collegio Di Spagna,44.4903,11.33682,Centro,Station
166,Urbana,44.49,11.34058,Centro,Station
167,Carteria Scuole,44.42652,11.35127,Santo Stefano,Station
168,Carteria Chiesa,44.42788,11.35255,Santo Stefano,Station
169,Carteria di Sesto,44.43035,11.35229,Santo Stefano,Station
170,Riolo,44.43524,11.35486,Santo Stefano,Station
171,Rastignano,44.44068,11.35415,Santo Stefano,Station
172,Rastignano Stazione,44.44368,11.35617,Santo Stefano,Station
173,Rastignano Paleotto,44.44568,11.35833,Santo Stefano,Station
174,Piazza Giovanni XXIII,44.49617,11.28555,Borgo Panigale,Station
175,Treno,44.4944,11.2846,Borgo Panigale,Station
176,Rigola,44.49404,11.28683,Borgo Panigale,Station
177,Buozzi,44.49619,11.28818,Borgo Panigale,Station
178,Barca,44.49587,11.2916,Borgo Panigale,Station
179,Belcantone,44.49536,11.29364,Borgo Panigale,Station
180,Barca,44.494,11.29669,Borgo Panigale,Station
181,Ghisello,44.49318,11.29962,Borgo Panigale,Station
182,Certosa,44.49294,11.30382,Borgo Panigale,Station
183,Lino,44.49343,11.30684,Borgo Panigale,Station
184,Stadio Dall'Ara,44.49382,11.30984,Borgo Panigale,Station
185,Magnani,44.49426,11.31264,Porto-Saragozza,Station
186,Martini,44.49493,11.3158,Porto-Saragozza,Station
187,Crocetta,44.49534,11.32002,Porto-Saragozza,Station
188,San Paolo di Ravone,44.49531,11.32297,Porto-Saragozza,Station
189,Andrea Costa,44.49498,11.32617,Porto-Saragozza,Station
190,Porta Sant'Isaia,44.49444,11.32969,Porto-Saragozza,Station
191,Massarenti,44.49263,11.36787,San Donato,Station
192,Rimesse Stazione,44.49338,11.37359,San Donato,Station
193,Massarenti,44.49319,11.37644,San Donato,Station
194,Massarenti Sottovia,44.4936,11.38153,San Donato,Station
195,Giambologna,44.49322,11.3858,San Donato,Station
196,Tangenziale San Vitale,44.49344,11.38972,San Donato,Station
197,Piazza Dei Colori,44.49446,11.3972,San Donato,Station
198,Stop_11931571601,44.4948,11.40003,San Donato,Station
199,Martelli,44.493,11.40052,San Donato,Station
200,Croce Del Biacco,44.49,11.39854,San Donato,Station
201,Canova,44.48782,11.39691,San Donato,Station
202,Deposito Due Madonne 2,44.48523,11.39564,San Donato,Station
203,Santa Rita,44.49343,11.38326,San Donato,Station
204,Triachini,44.49295,11.37059,San Donato,Station
205,Sant'Orsola Medicina,44.49245,11.36432,San Donato,Campus
206,Ospedale Sant'Orsola,44.49272,11.36212,San Donato,Station
207,Larga,44.49515,11.39224,San Donato,Station
208,Larga Stazione,44.49856,11.39427,San Donato,Station
209,Innocenti,44.50037,11.39539,San Donato,Station
210,Enzo Ferrari,44.50223,11.39658,San Donato,Station
211,Industria,44.50483,11.39504,San Donato,Station
212,Carpentiere,44.50445,11.39153,San Donato,Station
213,Pilastro Vecchio,44.50781,11.38902,San Donato,Station
214,C.S. Record,44.50792,11.39167,San Donato,Station
215,Svevo,44.5084,11.39481,San Donato,Station
216,Sighinolfi,44.51118,11.4011,San Donato,Station
217,Pilastro,44.51102,11.39554,San Donato,Station
218,Pirandello,44.51174,11.38951,San Donato,Station
219,Cadriano Bivio,44.51151,11.38451,San Donato,Station
220,Bivio Pilastro,44.51002,11.38354,San Donato,Station
221,Larga Stazione,44.49706,11.39337,San Donato,Station
222,Carrozzaio,44.49903,11.39617,San Donato,Station
223,Ceramista,44.49912,11.39745,San Donato,Station
224,Cerodolo,44.50224,11.39948,San Donato,Station
225,Elettricista,44.50247,11.40182,San Donato,Station
226,Fonditore,44.50192,11.40462,San Donato,Station
227,Fresatore,44.50095,11.40765,San Donato,Station
228,Muratore,44.50082,11.41038,San Donato,Station
229,Rotonda Acqua Fresca,44.50517,11.41307,San Donato,Station
230,Vetraio,44.50419,11.42109,San Donato,Station
231,Rotonda Negroni,44.50173,11.41874,San Donato,Station
232,Rotonda Acqua Fresca,44.5035,11.4131,San Donato,Station
233,Mille,44.50166,11.34245,Centro,Station
234,Irnerio,44.49853,11.3552,Centro,Station
235,Zanolini - Casa delle Donne,44.49739,11.35934,Centro,Station
236,Casteldebole,44.50011,11.27743,Borgo Panigale,Station
237,Rotta,44.49891,11.27523,Borgo Panigale,Station
238,Salvemini,44.50091,11.27521,Borgo Panigale,Station
239,Galeazza,44.50293,11.27807,Borgo Panigale,Station
240,Casteldebole,44.50517,11.27887,Borgo Panigale,Station
241,La Malfa,44.5053,11.27989,Borgo Panigale,Station
242,Einaudi,44.50533,11.28176,Borgo Panigale,Station
243,Borgo Panigale,44.5067,11.28475,Borgo Panigale,Station
244,Centro Vittoria,44.50388,11.29418,Borgo Panigale,Station
245,Togliatti,44.50227,11.29974,Borgo Panigale,Station
246,Cividali,44.5015,11.30813,Borgo Panigale,Station
247,Marzabotto,44.50139,11.31154,Porto-Saragozza,Station
248,Ospedale Maggiore,44.50379,11.31463,Porto-Saragozza,Station
249,Timavo,44.50257,11.31793,Porto-Saragozza,Station
250,Saffi,44.501,11.32209,Porto-Saragozza,Station
251,Porta San Felice,44.50007,11.32488,Porto-Saragozza,Station
252,Villa Laura,44.47923,11.38575,Savena,Station
253,Emilia Calabria,44.47837,11.38804,Savena,Station
254,Villaggio Due Madonne,44.47586,11.39474,Savena,Station
255,Parco Dei Cedri,44.47383,11.40001,Savena,Station
256,San Lazzaro Fiume Savena,44.47265,11.40313,Savena,Station
257,San Lazzaro Villa Rodriguez,44.47167,11.40573,Savena,Station
258,San Lazzaro di Savena,44.47065,11.40836,Savena,Station
259,San Lazzaro Jussi,44.46865,11.41322,Savena,Station
260,San Lazzaro Di Vittorio,44.4671,11.41279,Savena,Station
261,San Lazzaro Kennedy,44.46435,11.41037,Savena,Station
262,San Lazzaro Piscina Kennedy,44.46257,11.40936,Savena,Station
263,San Lazzaro Kennedy Scornetta,44.4604,11.40934,Savena,Station
264,San Lazzaro Pertini,44.45879,11.40875,Savena,Station
265,San Felice,44.49756,11.3319,Porto-Saragozza,Station
266,Arno,44.4777,11.38987,Savena,Station
267,Lame,44.49687,11.33684,Centro,Station
268,Rondone,44.49987,11.33475,Porto-Saragozza,Station
269,Palasport,44.50058,11.33139,Porto-Saragozza,Station
270,Saffi,44.50186,11.3202,Porto-Saragozza,Station
271,Chiesa Certosa,44.49917,11.30878,Borgo Panigale,Station
272,Caselle Gramsci,44.47132,11.41065,Savena,Station
273,Caselle Speranza,44.47345,11.41348,Savena,Station
274,Caselle Cà Ricchi,44.47614,11.416,Savena,Station
275,San Lazzaro Stazione,44.47846,11.41577,Savena,Station
276,Cicogna Fondazione Cirulli,44.4638,11.4264,Savena,Station
277,San Lazzaro Cimitero,44.46246,11.42997,Savena,Station
278,Idice,44.45991,11.43669,Savena,Station
279,Idice Tre Ponti,44.4567,11.44418,Savena,Station
280,Cicogna Fondazione Cirulli,44.465,11.42328,Savena,Station
281,San Lazzaro Giovanni XXIII,44.46397,11.41227,Savena,Station
282,Cicogna Fantini,44.46102,11.41948,Savena,Station
283,Cicogna Donini,44.46147,11.42225,Savena,Station
284,Cicogna Viganò,44.45911,11.42278,Savena,Station
285,Pio La Torre,44.4578,11.42365,Savena,Station
286,Rotonda Pulce,44.45087,11.41053,Savena,Station
287,San Camillo,44.44923,11.41638,Savena,Station
288,Casalecchio Marconi,44.47703,11.27739,Porto-Saragozza,Station
289,Casalecchio Chiusa,44.47707,11.28135,Porto-Saragozza,Station
290,Casalecchio San Martino,44.47763,11.28473,Porto-Saragozza,Station
291,Casalecchio Villa Chiara,44.48251,11.28667,Porto-Saragozza,Station
292,Croce,44.48503,11.28994,Borgo Panigale,Station
293,Croce Luna,44.48641,11.29224,Borgo Panigale,Station
294,Treves,44.48824,11.29632,Borgo Panigale,Station
295,Don Sturzo,44.48923,11.29905,Borgo Panigale,Station
296,Villa Spada,44.4913,11.30393,Borgo Panigale,Campus
297,Dello Sport,44.49093,11.3071,Borgo Panigale,Station
298,Bivio San Luca,44.49019,11.30968,Borgo Panigale,Station
299,Meloncello,44.49002,11.31264,Porto-Saragozza,Station
300,Villa Spada,44.48938,11.31531,Porto-Saragozza,Station
301,Villa Benni,44.48892,11.31821,Porto-Saragozza,Station
302,Orsoni,44.48964,11.32111,Porto-Saragozza,Station
303,San Giuseppe,44.49023,11.32493,Porto-Saragozza,Station
304,Farini,44.49129,11.34055,Centro,Station
305,Sant'Egidio,44.49908,11.35952,Centro,Station
306,Mercato San Donato,44.50245,11.36337,San Donato,Station
307,Artigiano,44.5034,11.36697,San Donato,Station
308,Magazzari,44.50354,11.37149,San Donato,Station
309,Giardino Gino Cervi,44.505,11.37245,San Donato,Station
310,Sirenella,44.50628,11.37405,San Donato,Station
311,San Donnino,44.5086,11.37837,San Donato,Station
312,Panzini,44.50937,11.39341,San Donato,Station
313,Deledda,44.50988,11.39985,San Donato,Station
314,Stazione Casalecchio Garibaldi,44.48233,11.27403,Porto-Saragozza,Station
315,Casalecchio Piave,44.48011,11.27552,Porto-Saragozza,Station
316,Casalecchio Garibaldi,44.47824,11.27683,Porto-Saragozza,Station
317,Rotonda Malaguti,44.49067,11.28851,Borgo Panigale,Station
318,Crocefissi,44.4896,11.28953,Borgo Panigale,Station
319,Porta Saragozza,44.49045,11.32834,Porto-Saragozza,Station
320,San Biagio Resistenza,44.45532,11.27134,Porto-Saragozza,Station
321,San Biagio Cefalonia,44.45548,11.27427,Porto-Saragozza,Station
322,San Biagio Micca,44.45722,11.27471,Porto-Saragozza,Station
323,Casalecchio C.S. Allende,44.46146,11.27901,Porto-Saragozza,Station
324,Casalecchio Ronzani,44.46521,11.27798,Porto-Saragozza,Station
325,Casalecchio Lido,44.47029,11.2774,Porto-Saragozza,Station
326,Casalecchio Stazione,44.47478,11.27626,Porto-Saragozza,Station
327,Agraria Cadriano,44.51382,11.39544,San Donato,Campus
328,Pilastro,44.51453,11.3906,San Donato,Station
329,San Donato,44.50498,11.37087,San Donato,Station
330,Casalecchio Lido,44.46905,11.27756,Porto-Saragozza,Station
331,Casalecchio Cristoni,44.48028,11.27008,Porto-Saragozza,Station
332,Meridiana Cristoni,44.48299,11.27129,Porto-Saragozza,Station
333,Indipendenza Mille,44.50216,11.34473,Centro,Station
334,Terracini,44.51421,11.31893,Porto-Saragozza,Station
335,Santa Viola,44.50741,11.31237,Porto-Saragozza,Station
336,Ospedale Maggiore,44.50657,11.31561,Porto-Saragozza,Station
337,Creti,44.5105,11.35078,Centro,Station
338,Stalingrado,44.50991,11.35522,Centro,Station
339,Stalingrado Parri,44.51236,11.35773,Centro,Station
340,Fiera Palazzo Congressi,44.51167,11.36157,San Donato,Station
341,Fiera Aldo Moro,44.50859,11.3628,San Donato,Station
342,Aldo Moro,44.50731,11.36419,San Donato,Station
343,Piazza Spadolini,44.50798,11.36853,San Donato,Station
344,Ferravilla,44.50694,11.37069,San Donato,Station
345,Scalo San Donato,44.50786,11.39663,San Donato,Station
346,Facoltà di Agraria,44.51376,11.40589,San Donato,Station
347,FICO Eataly World,44.51493,11.40214,San Donato,Station
348,Facoltà di Agraria,44.51298,11.40788,San Donato,Station
349,Ospedale Maggiore,44.50436,11.31606,Porto-Saragozza,Station
350,Bombicci,44.47924,11.39441,Savena,Station
351,Pomponazzi,44.48072,11.39013,Savena,Station
352,Allende,44.48278,11.38585,Savena,Station
353,Marx,44.48565,11.38606,San Donato,Station
354,Istituto Manfredi Tanari,44.48901,11.38679,San Donato,Station
355,Etruria,44.48958,11.38106,San Donato,Station
356,Spina,44.48905,11.3782,San Donato,Station
357,Mazzini Stazione,44.48721,11.3775,San Donato,Station
358,Azzurra,44.48642,11.3731,San Donato,Station
359,Arcobaleno,44.48871,11.37344,San Donato,Station
360,Arpa,44.49055,11.37124,San Donato,Station
361,Palagi,44.49165,11.36662,San Donato,Station
362,Cirenaica,44.49465,11.36453,San Donato,Station
363,Masia,44.49624,11.36429,San Donato,Station
364,Sant'Egidio,44.4987,11.36316,San Donato,Station
365,Cavalcavia San Donato,44.50021,11.36182,San Donato,Station
366,Matteotti Alta Velocità,44.50717,11.34615,Centro,Station
367,Battiferro,44.51488,11.33763,Centro,Station
368,Gobetti,44.51837,11.33633,Navile,Station
369,Rotonda C.N.R.,44.52188,11.33802,Navile,Station
370,Masia,44.49783,11.36408,San Donato,Station
371,Arpa,44.49145,11.37001,San Donato,Station
372,Bottego,44.52018,11.33095,Navile,Station
373,Beverara,44.52176,11.33123,Navile,Station
374,Pellegrino,44.52516,11.33222,Navile,Station
