Station_ID,Station_Name,Latitude,Longitude,Community_ID
3353,VIALE FIERA,44.50857016,11.36936635,2
3354,VIALE FIERA,44.50752541,11.36778842,2
3356,FERRAVILLA,44.50716236,11.37058697,5
3370,CARCERE,44.53387687,11.36865805,3
3371,CARCERE,44.53331018,11.36942587,3
3372,GOMITO,44.53300742,11.37062026,3
34,PORTA CASTIGLIONE,44.48537356,11.34931878,4
35,GIARDINI MARGHERITA,44.48478373,11.35238632,8
3501,VIRGOLONE,44.51468275,11.3898058,2
3502,VIRGOLONE,44.51497614,11.39006314,2
3503,MENARINI,44.51872011,11.3976543,2
3504,MENARINI,44.51823819,11.39659566,2
3505,SAN SISTO,44.51997978,11.40057807,2
3506,SAN SISTO,44.52012456,11.4009442,2
3507,SAN DONATO 240-246,44.5229935,11.40759946,2
3509,PICCOLO COW BOY,44.52441574,11.41115161,2
3511,FRULLO (BIVIO),44.52754571,11.41780597,2
3513,QUARTO CENTRO,44.52993971,11.42205819,2
3517,QUARTO S.DONATO RISORGIMENTO,44.53153443,11.42472794,2
352,DON MINZONI - MAMBO,44.50294095,11.33654497,1
353,BOVI CAMPEGGI QUESTURA,44.50535103,11.33538015,1
354,BOVI CAMPEGGI QUESTURA,44.50551811,11.33524373,1
3543,ROTONDA BARONI,44.5152361,11.40118845,2
3544,ROTONDA BARONI,44.5153282,11.40162473,2
3545,CARNACINI,44.51574326,11.3986321,2
3547,FACOLTA` DI AGRARIA,44.51305659,11.40774842,2
3548,FACOLTA` DI AGRARIA,44.51355891,11.40660751,2
355,BOVI CAMPEGGI,44.50570992,11.33298428,1
3553,COMMERCIO ASSOCIATO,44.51764753,11.40178297,2
3554,FIORINI,44.51368852,11.42155049,2
356,BOVI CAMPEGGI,44.50600797,11.33186903,1
36,PARCHEGGIO STAVECO,44.4860236,11.34389094,4
37,PORTA CASTIGLIONE,44.48511543,11.34901133,8
38,PORTA SAN MAMOLO,44.48703256,11.33826117,4
4,STAZIONE CENTRALE,44.50504346,11.34311313,4
4001,SACRO CUORE,44.50857046,11.34666227,0
4002,SACRO CUORE,44.50854926,11.34648923,0
4003,PIAZZA DELL`UNITA`,44.51067636,11.3472713,2
4004,PIAZZA DELL`UNITA`,44.5106043,11.34708126,0
4007,PIAZZA DELL`UNITA`,44.51159728,11.34755204,0
4015,MATTEOTTI ALTA VELOCITA',44.50711308,11.3461748,3
4016,MATTEOTTI ALTA VELOCITA',44.50712273,11.34603366,3
4024,CASERME ROSSE,44.5257942,11.34872754,0
4026,CROCE COPERTA,44.5304546,11.35220892,0
4029,RONCAGLIO,44.53661853,11.35580995,0
4033,LIPPARINI,44.54065556,11.35638429,0
4035,COLOMBAROLA,44.54314891,11.35612853,0
4041,CORTICELLA,44.5461302,11.35646679,0
4043,BENTINI,44.54908437,11.35732003,0
4045,BENTINI SOTTOVIA,44.55303353,11.35365303,0
