Macro_Zone_ID,Latitude,Longitude,Population_Served,Dwell_Penalty,Type,Zone_Name
90,44.49658463,11.202284815,0.0,0.0,bus,ZOLA PREDOSA SAN PANCRAZIO
8,44.439373759999995,11.49089812,0.0,0.0,bus,TOLARA BIVIO
11,44.46378111,11.42644798,0.0,0.0,bus,CICOGNA FONDAZIONE CIRULLI
12,44.46509918,11.42307834,0.0,0.0,bus,CICOGNA FONDAZIONE CIRULLI
13,44.462335644999996,11.43021623,0.0,0.0,bus,SAN LAZZARO CIMITERO
14,44.475554316,11.414983284,0.0,0.0,bus,CASELLE SPERANZA
95,44.47975164,11.26853659,0.0,0.0,bus,CASALECCHIO SANTA LUCIA
94,44.4781715825,11.277959274166667,0.0,0.0,bus,STAZIONE CASALECCHIO GARIBALDI
89,44.49424938,11.208862595,0.0,0.0,bus,ZOLA PREDOSA
81,44.480678659999995,11.261246625,0.0,0.0,bus,CERETOLO CHIESA
88,44.492634245000005,11.21417836,0.0,0.0,bus,ZOLA PREDOSA CHIESA
87,44.49123117,11.218558605,0.0,0.0,bus,LAVINO DI SOPRA
86,44.48851931,11.225416540000001,0.0,0.0,bus,PILASTRINO DI ZOLA
85,44.485081755,11.23883505,0.0,0.0,bus,RIALE CENTRO
84,44.483661175,11.24606329,0.0,0.0,bus,CERETOLO VIVALDI
83,44.4816189,11.250010805,0.0,0.0,bus,CERETOLO TENUTA LAURO
82,44.48130678,11.257185284999998,0.0,0.0,bus,CERETOLO
142,44.42805215714286,11.351976785714285,0.0,0.0,bus,CARTERIA DI SESTO
